,,Start or Timeframe,,,End,,,,,,,,This1,This2,This3
Source,Page,Year,Month,Day,Year,Month,Day,Event,,,,,,,
Era Report 2750,10,2558,1,1,,,,Signing of the Tharkad Accords. The Lyran Commonwealth joins the Star League as its fourth member.,,,,,,,
Era Report 2750,13,2590,1,1,,,,General Lord Damien Onaga assumes com mand of the Taurian ROC.,,,,,,,
Era Report 2750,14,2600,1,1,,,,The Good Years—a period of peace and prosperity in the Star League—begin.,,,,,,,
House Book House Davion,49,2630,1,1,,,,First hyperpulse generator (HPG) comes online.,,,,,,,
Era Digest: Golden Century,8,2787,1,1,,,,First Succession War begins,,,,,,,
Era Digest: Golden Century,8,2788,1,1,,,,"In the Pentagon, the SLDF begins a series of tests to cull its warriors in an e ort to build a more balanced society",,,,,,,
Era Digest: Golden Century,9,2803,1,1,,,,Nicholas Kerensky’s Exodus forces begin grueling live-fire training on Strana Mechty,,,,,,,
Historical - Operation Klondike,103,2803,1,1,,,,Major General Kerensky institutes a series of live-fire combat tests to determine who will remain in the SLDF,,,,,,,
Historical - Fedcom Civil War,15,3058,1,1,,,,Duke Morgan Kell creates the ArcRoyal Defense Cordon,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",33,3061,1,1,,,,"Marthe Pryde departs Clan space for the Falcon occupation zone, accompanied by a large body of troops.",,,,,,,
Field Manual - Update,17,3063,1,1,,,,Capellan Confederation: Year of the Pig,,,,,,,
Field Manual - Update,18,3064,1,1,,,,Capellan Confederation: Year of the Rat,,,,,,,
Field Manual - Update,18,3065,1,1,,,,Capellan Confederation: Year of the Ox,,,,,,,
Field Manual - Update,18,3066,1,1,,,,Capellan Confederation: Year of the Tiger,,,,,,,
Field Manual - Update,19,3067,1,1,,,,Capellan Confederation: Year of the Rabbit,,,,,,,
Jihad Plot Sourcebook - Blake Ascending,173,3068,1,1,,,,"Word of Blake naval and ground forces attack the Luthien system. Reports of Blakist support for the loyalists are unconfirmed due to a planetary blackout. Loyalist and Black Dragon forces engage the Word of Blake, sparking a three-way battle for planetary control.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,43,3068,1,1,,,,"Word of Blake naval and ground forces attack Luthien system. Reports of Blakist support for the loyalists are unconfirmed due to planetary blackout. Both loyalist and Black Dragon forces engage Word of Blake, sparking three-way battle for planetary control.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,59,3079,1,1,,,,"Warlord Minamoto orders a combined orbital and nuclear attack on the ROM headquarters in Cairo. Although collateral damage causes over a million casualties, the last major Word of Blake base on Terra collapses. Word of Blake’s Alexander Kernoff is captured, but commits suicide before he can be removed from his ruined fortress.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,60,3080,1,1,,,,"The ""false"" Thomas Marik legally assumes the name of Thomas Halas.",,,,,,,
Era Report 3145,20,3137,1,1,,,,"Theodore Kurita, heir to the Draconis Combine throne, dies trying to breach Fortress Republic.",,,,,,,
Field Manual - 3145,24,3137,1,1,,,,"Theodore Kurita, heir to the Draconis Combine throne, dies trying to breach Fortress Republic.",,,,,,,
Historical - Wars of the Republic Era,16,3137,1,1,,,,Theodore Kurita dies trying to breach Fortress Republic.,,,,,,,
Era Report 3145,22,3142,1,1,,,,Formation of Wolf Empire.,,,,,,,
Field Manual - 3145,24,3142,1,1,,,,Formation of Wolf Empire.,,,,,,,
Historical - Wars of the Republic Era,16,3142,1,1,,,,Clan Wolf declares formation of the Wolf Empire.,,,,,,,
Era Report 2750,11,2575,1,2,,,,The Pollux Proclamation is issued.,,,,,,,
House Book House Davion,49,2575,1,2,,,,First Lord Ian Cameron makes his Pollux Proclamation.,,,,,,,
Era Report 3062,24,3058,1,2,,,,"Jade Falcon Khan Elias Crichell is elected ilKhan, but Khan Vlad Ward challenges ilKhan Crichell to a Trial of Refusal and kills him. Clan Jade Wolf is renamed Wolf, and Marthe Pryde becomes Jade Falcon kaKhan.",,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",32,3058,1,2,,,,"Vlad Ward of the Jade Wolves kills the new iiKhan, Elias Crichell. Ward then announces the birth of a ""new"" Wolf Clan.",,,,,,,
Era Report 3062,26,3060,1,2,,,,"Marshal Morgan Hasek-Davion is mur dered, and General Ariana Winson of the Eridani Light Horse takes command of Task Force Serpent. Lasts until 3 January.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,57,3078,1,2,,,,"Upon hearing of the massacre on Korramabad, Coordinator Hohiro Kurita immediate dispatches the Second An Ting Legion to put down the rebellion.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,59,3079,1,2,,,,"Ghost Bear paramilitary police kill Albert Gronvold-Minami, one of the top leaders of the outlawed Motstånd movement, on Stanzach.",,,,,,,
Era Digest: Dark Age,10,3133,1,2,,,,Bankruptcy Relief Bill dies in the Senate.,,,,,,,
Historical - Wars of the Republic Era,16,3133,1,2,,,,Draconis Combine forces test the Republic’s defenses.,,,,,,,
House Book House Davion,79,3030,1,3,,,,Capture of Sarna.,,,,,,,
House Book House Davion,83,3059,1,3,,,,Archon-Prince Victor Steiner-Davion names his sister Yvonne Steiner-Davion as regent of the Federated Commonwealth.,,,,,,,
Historical - Fedcom Civil War,16,3060,1,3,,,,Marshal of the Armies Morgan Hasek-Davion assassinated while enroute to Huntress,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",33,3060,1,3,,,,Morgan Hasek-Davion assassinated under mysterious circumstances.,,,,,,,
Era Report 3145,24,3145,1,3,,,,"Jade Falcon and Hell’s Horses land on Hesperus. After token resistance, Lyran defenders abandon the planet, leaving behind several mercenary commands.",,,,,,,
Field Manual - 3145,25,3145,1,3,,,,"Jade Falcon and Hell’s Horses land on Hesperus. After token resistance, Lyran defenders abandon the planet, leaving behind several mercenary commands.",,,,,,,
Era Report 2750,20,2743,1,4,,,,Lyran troops begin massing along the Combine border.,,,,,,,
Handbook House Steiner,37,2791,1,4,,,,Archon Jennifer Steiner killed in action on Styx.,,,,,,,
House Book House Davion,71,3014,1,4,,,,"First Prince Hanse Davion leads an attack on Halstead Station, recovering valuable Star League-era books.",,,,,,,
Historical - Fedcom Civil War,12,3040,1,4,,,,Katrina Steiner dies,,,,,,,
Era Report 3052,18,3052,1,4,,,,"The battle for Luthien begins as the smoke Jaguars and the nova Cats attack. Having been tipped off early, Kanrei Theodore kurita has the world well-prepared and has received assistance from Hanse Davion in the form of the kell Hounds and Wolf’s Dragoons mercenary units. A total of twelve frontline and three militia regiments defend the world against five Galaxies. After two days, the Inner sphere forces throw the Clan invaders off the planet.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,45,3069,1,4,,,,"Hohiro Kurita is liberated from a Blakist prison camp on Dieron, reportedly with aid from surviving elements of the Royal Black Watch.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,11,3069,1,4,,,,"Hohiro Kurita is liberated from a Blakist prison camp on Dieron, reportedly with aid from surviving elements of the Royal Black Watch.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,48,3071,1,4,,,,"As part of a growing effort to contain the various border conflicts and coordinate a mutual defense strategy, Precentor Martial Victor Steiner-Davion meets with General Adam Steiner and Khan Phelan Kell of Clan Wolf (in-Exile) on Arc-Royal.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,11,3071,1,4,,,,"As part of a growing effort to contain the various border conflicts and coordinate a mutual defense strategy, Precentor Martial Victor Steiner-Davion meets with General Adam Steiner and Khan Phelan Kell of Clan Wolf (in-Exile) on Arc-Royal.",,,,,,,
Era Report 3145,24,3145,1,4,,,,Wolf forces land on Hesperus.,,,,,,,
Field Manual - 3145,25,3145,1,4,,,,Wolf forces land on Hesperus.,,,,,,,
Historical - First Succession War,114,2787,1,5,,,,Draconis Combine launches massive assault across Federated Suns’ Draconis March,,,,,,,
Handbook House Marik,39,2842,1,5,,,,"Commonwealth troops land on Irian, initiating a four-month campaign to secure the heavily industrialized world. The arrival of League reinforcements in March ultimately forces the Lyran assault back and marks the start of the FWLM countero?ensive.",,,,,,,
Historical - Second Succession War,81,2842,1,5,,,,"Commonwealth troops land on Irian, initiating what will become a four-month campaign to secure the heavily industrialized world; The arrival of League reinforcements in March, however, ultimately forces the Lyran assault back",,,,,,,
Era Report 3052,18,3052,1,5,,,,"On satalice, ragnar Magnusson, the heir apparent to the throne of the Frr, is captured by Clan Wolf.",,,,,,,
Historical - Fedcom Civil War,13,3052,1,5,,,,Battle for Luthien,,,,,,,
Historical - Fedcom Civil War,13,3052,1,5,,,,Battle of Alyina in which Archon-Prince designate Victor Steiner-Davion is almost captured,,,,,,,
Historical - Fedcom Civil War,13,3052,1,5,,,,Justin Allard killed and Prime Minister Candace Liao wounded in assassination attempt ordered by Chancellor Romano Liao,,,,,,,
House Book House Davion,79,3052,1,5,,,,Battle for Luthien,,,,,,,
House Book House Davion,79,3052,1,5,,,,"Federated Suns Intelligence Minister Justin Allard is assassinated on New Avalon; his wife, Duchess Candace Liao, is thought dead as well; Duchess Liao resurfaces months later.",,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",32,3052,1,5,,,,Battle of Luthien.,,,,,,,
Era Report 3062,26,3059,1,5,,,,The Black Dragons attempt to assassinate Victor Steiner-Davion and Omi Kurita. Victor Steiner-Davion is gravely wounded but manages to kill his attackers.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,45,3069,1,5,,,,The entire Snow Raven naval Star at Ramora is sabotaged and destroyed by Blakist-backed terrorists using Combine vessels and tactics.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,11,3069,1,5,,,,The entire Snow Raven naval Star at Ramora is sabotaged and destroyed by Blakist-backed terrorists using Combine vessels and tactics.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,47,3070,1,5,,,,Theodore Kurita dies. Hohiro Kurita is named Coordinator.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,20,3070,1,5,,,,Theodore Kurita dies. Hohiro Kurita is named Coordinator.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,51,3074,1,5,,,,"Chandrasekhar Kurita releases his coalition force—under Lyran and Exiled Wolf Clan naval escort—to attack Odessa, suspecting the system to be the location of the secret Ruins of Gabriel. Word of Blake defense forces emerge to defend the base, which is revealed to be a moon orbiting the system’s farthest planet. Though the Blakists manage to beat back the allied troops, however, their forces nevertheless poison the world of Odessa and withdraw to scuttle their now-exposed facilities.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,37,3074,1,5,,,,"Chandrasekhar Kurita releases his coalition force—under Lyran and Exiled Wolf Clan naval escort—to attack Odessa, suspecting the system to be the location of the secret Ruins of Gabriel. Word of Blake defense forces emerge to defend the base, which is revealed to be a moon orbiting the system’s farthest planet. Though the Blakists manage to beat back the allied troops, however, their forces nevertheless poison the world of Odessa and withdraw to scuttle their now-exposed facilities.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,55,3077,1,5,,,,"Belle Lee’s forces arrive on Lyons to settle the fighting between the DCMS and LAAF troops there, ultimately replacing both commands with elements of the Com Guard’s depleted Sixth Army.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,59,3079,1,5,3079,2,2,"The Regulans launch a conventional assault on Gibson to ensure the destruction of any Manei Domini survivors. Amid the hellish, post-apocalyptic wastes, several surviving Domini forces are rooted out and destroyed.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,59,3079,1,5,,,,"The Coalition captures the last of the Blakist defenders at Towra Point, effectively ending the battle for Terra.",,,,,,,
Historical - Operation Klondike,102,2788,1,6,,,,General Kerensky institutes a testing program which will result in the controlled demobilization of 75% of the SLDF,,,,,,,
Era Report 3145,23,3143,1,6,,,,"Nova Cats defeated on Kagoshima, ending their rebellion.",,,,,,,
Field Manual - 3145,24,3143,1,6,,,,"Nova Cats defeated on Kagoshima, ending their rebellion.",,,,,,,
Historical - Wars of the Republic Era,16,3143,1,6,,,,The Nova Cats’ revolution fails. They are virtually annihilated.,,,,,,,
Era Report 3145,24,3145,1,6,,,,Capellans take Taygeta.,,,,,,,
Field Manual - 3145,25,3145,1,6,,,,Capellans take Taygeta.,,,,,,,
Dark Age - Shattered Fortress,100,3149,1,6,,,,"Devlin Stone brings down the Wall of Fortress Republic. Operation SHOFAR begins, ultimately reclaiming several former Republic worlds, some without the need for violence.",,,,,,,
